id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
182,POM0186,Idan Bonca,Nephelium lapaceum,Pohon Dewasa,icon/mature_tree.svg,Least Concern,78,28,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3322039,101.2191469,43.26,1.91,Belum,-,-,Dafit,5/20/2021 14:20,200000,26494.32,-,Brown (1997),media/1621493160948.jpg,media/1621493173348.jpg,media/1621493204725.jpg,media/1621605229508.jpg,
183,POM0187,Asam,Palaquium hexandrum,Pohon Dewasa,icon/mature_tree.svg,Near Threatened,51,18,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3322091,101.2191705,47.02,1.91,Belum,-,-,Parman,5/20/2021 14:15,200000,9042.86,-,Brown (1997),media/1621493246657.jpg,media/1621493255725.jpg,media/1621493269938.jpg,media/1621605331434.jpg,
184,POM0188,Idan,Nephelium lapaceum,Pohon Dewasa,icon/mature_tree.svg,Least Concern,42,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3322249,101.219148,49.72,1.9,Belum,-,-,Sahlan,5/20/2021 14:25,200000,5533.17,-,Brown (1997),media/1621493326603.jpg,media/1621493338627.jpg,media/1621493352360.jpg,media/1621605414523.jpg,
185,POM0189,Dadarah,Myristica sp.,Pohon Dewasa,icon/mature_tree.svg,Near Threatened,60,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3323328,101.2189682,57.73,1.89,Belum,-,-,Darlis,5/20/2021 14:30,200000,13641.94,-,Brown (1997),media/1621493393281.jpg,media/1621493403050.jpg,media/1621493424304.jpg,media/1621605544854.jpg,
186,POM0190,Ridan,Nephelium mangayi,Pohon Dewasa,icon/mature_tree.svg,Not Defined,58,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3323302,101.2189659,59.08,1.89,Belum,-,-,Dafit,5/20/2021 14:35,200000,12520.63,-,Brown (1997),media/1621493487856.jpg,media/1621493497907.jpg,media/1621493517601.jpg,media/1621605857060.jpg,
187,POM0191,Meranti Kulit Buaya,Shorea uliginosa,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,135,27,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3323249,101.2189432,42.89,1.89,Belum,-,-,Wazar,5/20/2021 14:45,200000,106144.59,-,Brown (1997),media/1621493621131.jpg,media/1621493653021.jpg,media/1621493670830.jpg,media/1621606006336.jpg,
188,POM0193,Poponiong,Lithocarpus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,66,20,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3323699,101.2188128,41.09,1.88,Belum,-,-,Dafit,5/20/2021 14:40,200000,17361.99,-,Brown (1997),media/1621493831916.jpg,media/1621493843927.jpg,media/1621493862093.jpg,media/1621606265934.jpg,
189,POM0194,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,72,27,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3323888,101.2188005,46.01,1.88,Belum,-,-,Darlis,5/20/2021 14:45,200000,21637.38,-,Brown (1997),media/1621493934357.jpg,media/1621493951245.jpg,media/1621493920288.jpg,media/1621606362182.jpg,
190,POM0195,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,120,28,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3324476,101.2188465,43.33,1.87,Belum,-,-,Parman,5/20/2021 14:55,200000,78791.98,-,Brown (1997),media/1621494074989.jpg,media/1621494105370.jpg,media/1621494141910.jpg,media/1621606520873.jpg,
191,POM0196,Kolek Simogham,Syzygium sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,76,27,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3324295,101.2187992,44.27,1.87,Belum,-,-,Dafit,5/20/2021 14:50,200000,24809.15,-,Brown (1997),media/1621494204077.jpg,media/1621494216354.jpg,media/1621494189236.jpg,media/1621606669265.jpg,
192,POM0197,Patate,Ochanostachys amentacea,Pohon Dewasa,icon/mature_tree.svg,Data Deficient,70,20,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3324443,101.2187987,44.58,1.87,Belum,-,-,Risman,5/20/2021 15:00,200000,20148.91,-,Brown (1997),media/1621494288956.jpg,media/1621494298154.jpg,media/1621494314775.jpg,media/1621606759878.jpg,
193,POM0198,Kadondong,Spondias pinnata,Pohon Dewasa,icon/mature_tree.svg,Not Evaluated,49,18,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3324717,101.2188085,42.09,1.87,Belum,-,-,Gusperi,5/20/2021 14:55,200000,8172.4,-,Brown (1997),media/1621494375808.jpg,media/1621494384267.jpg,media/1621494400857.jpg,media/1621606858465.jpg,
194,POM0199,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,80,25,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3326127,101.2187485,56.08,1.85,Belum,-,-,Wazar,5/20/2021 15:15,200000,28246.92,-,Brown (1997),media/1621494489482.jpg,media/1621494503282.jpg,media/1621494470490.jpg,media/1621606986406.jpg,
195,POM0200,Cabodak,Artocarpus integer,Pohon Dewasa,icon/mature_tree.svg,Not Defined,159,30,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3326536,101.218813,43.29,1.85,Belum,-,-,Dafit,5/20/2021 15:00,200000,160578.78,-,Brown (1997),media/1621494591948.jpg,media/1621494605987.jpg,media/1621494633188.jpg,media/1621607075115.jpg,
196,POM0132,Modang,Litsea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,80,25,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3317527,101.2193943,53.24,1.96,Belum,-,-,Wazar,5/20/2021 11:56,200000,28246.92,-,Brown (1997),media/1621486786558.jpg,media/1621486800169.jpg,media/1621486821153.jpg,,
197,POM0133,Tampui,Baccaurea macrocarpa,Pohon Dewasa,icon/mature_tree.svg,Not Defined,41,23,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3317758,101.219361,59.67,1.96,Belum,-,-,Sahlan,5/20/2021 11:40,200000,5205.91,-,Brown (1997),media/1621486871240.jpg,media/1621486883454.jpg,media/1621486898018.jpg,,
198,POM0134,Tampui,Baccaurea macrocarpa,Pohon Dewasa,icon/mature_tree.svg,Not Defined,60,18,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3317951,101.2193335,57.1,1.95,Belum,-,-,Parman,5/20/2021 12:00,200000,13641.94,-,Brown (1997),media/1621486948340.jpg,media/1621486969287.jpg,media/1621486984747.jpg,,
